Issuer,Issue Month,Size (in issuance currency),Size (USD equivalent),Maturity Date,Issuer Country,Sector Criteria,Approved Verifier,Verifier Report,Status
New York Metropolitan Transportation Authority,2025-03-01,USD 847.785m,847785000,2 years and 8 months to 30 years and 8 months,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Japan Railway Construction  Transport and Technology Agency,2025-03-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
SA Power Networks,2025-03-01,AUD 535m,337347460,3 years and 10 years,Australia,Electrical Grids and Storage,EY Australia,/files/drupal-files/files/sapower_Pre-issuance_report.pdf,-
Mercury NZ,2025-03-01,AUD 400m,252386800,6 years,New Zealand,WindGeothermal,DNV,/files/drupal-files/files/Mercury-pre-issuance-verification-PUBLIC.pdf,-
Transpower New Zealand Limited,2025-03-01,AUD 270m,169681230,7 years,New Zealand,Electrical Grids and Storage,DNV,,-
Japan Railway Construction  Transport and Technology Agency,2025-02-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
Office National des Chemins de Fer - ONFC,2025-02-01,MAD 2bn,199450600,,Morocco,Low Carbon Transport,Sustainalytics,/files/drupal-files/files/report-oncf-2025.pdf,-
Transpower New Zealand Limited,2025-02-01,CHF 120m,131167200,5 years,New Zealand,Electrical Grids and Storage,DNV,,-
Transpower New Zealand Limited,2025-02-01,CHF 130m,142097800,8 years,New Zealand,Electrical Grids and Storage,DNV,,-
SNCF SA,2025-01-01,GBP 300m,373176000,30 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
SNCF SA,2025-01-01,HKD 620m,79595600,10 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Milwaukee Metropolitan Sewerage District,2025-01-01,USD 96m,96000000,20 years,United States,Water Infrastructure,Kestrel,/files/drupal-files/files/MMSD-2020D-pre-issuance-verification.pdf,-
Origo Energia,2025-01-01,confidential,,,Brazil,Solar,ERM-NINT,,-
BICSA FACTORING  S.A. (BICSA GROUP),2024-12-01,USD 10m,10000000,3 years,Panama,Solar  Transport,Pacific Corporate Sustainability,/files/drupal-files/files/report-BICSA-2025.pdf,-
MWOF 2024 Syndicated Green Loan (Mirvac),2024-12-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Queensland Treasury Corporation,2024-12-01,AUD 200m,127729600,9 years and 2 months,Australia,Forestry  Low Carbon Transport  Solar  Grids  Water  Wind,DNV,/files/drupal-files/files/report-qtc-2023.pdf,-
Firstmac Limited,2024-11-01,AUD 240m,155655120,31 years and 4 months,Australia,Low Carbon Buildings  (Residential),DNV,/files/drupal-files/files/report-firstmac-3.pdf,-
Japan Railway Construction  Transport and Technology Agency,2024-11-01,confidential,,,Japan,Low Carbon Transport,DNV,,-
CPOF Finance Pty Limited (Charter Hall),2024-11-01,confidential,,,Australia,Low Carbon Buildings (Commercial),DNV,,-
Powerco Limited,2024-11-01,NZD 50m,29323000,7 years,New Zealand,Electrical Grids and Storage,EY,/files/drupal-files/files/report-powerco-public.pdf,-
Vivriti Capital Limited,2024-11-01,confidential,,,India,Solar  Wind  Low Carbon Transport  Waste,DNV,/files/drupal-files/files/report-Vivriti-DNV-opinion.pdf,-
SNCF SA,2024-11-01,EUR 51m,55265130,13 years,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Plenti Group Limited,2024-11-01,AUD 89.1m,58303120,11 years and 5 months,Australia,Solar,DNV,/files/drupal-files/files/report-Plenti-4.pdf,-
New York Metropolitan Transportation Authority,2024-10-01,USD 479.46m,479460000,20 years,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
Mirattery,2024-10-01,CNY 600m,84287400,3 years,China,Low Carbon Transport,Pengyuan Green Finance,,-
Barclays PLC,2024-10-01,HKD 262.5m,33800000,2 years,United Kingdom,Low carbon transport; Low carbon buildings (commercial & residential); Marine renewable energy; Solar; Wind,ISS ESG,/files/drupal-files/files/CBI_Pre-certification_Barclays public_ver_signed.pdf,-
New York Metropolitan Transportation Authority,2024-10-01,USD 864.215m,864215000,Up to 30 years and a month,United States,Low carbon transport,First Environment,/files/drupal-files/files/nymta2022_Pre issuance assurance statement.pdf,-
SNCF SA,2024-10-01,EUR 150m,164586000,3 years and 1 month,France,Low Carbon Transport,ISS ESG,/files/drupal-files/files/20161018_SNCF_oekom_CBI_pre-issuance-verification.pdf,-
Contact Energy Limited,2024-10-01,confidential,,,New Zealand,Geothermal  Hydropower,EY,,-
Barclays PLC,2024-10-01,USD 30m,30000000,6 years,United Kingdom,Low carbon transport; Low carbon buildings (commercial & residential); Marine renewable energy; Solar; Wind,ISS ESG,/files/drupal-files/files/CBI_Pre-certification_Barclays public_ver_signed.pdf,-
