Rank,Ticker,name,Sector,marketCap,total_score,total_grade,financial_health_score
1,nvda,NVIDIA Corp,Technology,4347333443584.0,899,BB,0.704
2,aapl,Apple Inc,Technology,3011413803008.0,891,BB,0.4112
3,googl,Alphabet Inc,Communication Services,2357862596608.0,1012,BBB,0.6542
4,meta,Meta Platforms Inc,Communication Services,1917918511104.0,652,B,0.6948
5,avgo,Broadcom Inc,Technology,1377787445248.0,622,B,0.4202
6,tsla,Tesla Inc,Consumer Cyclical,995760930816.0,993,BBB,0.3651
7,wmt,Walmart Inc,Consumer Defensive,792535498752.0,811,BB,0.2375
8,orcl,Oracle Corp,Technology,718133526528.0,1000,BBB,0.4024
9,ma,Mastercard Inc,Financial Services,511706955776.0,655,B,0.6251
10,hd,Home Depot Inc,Consumer Cyclical,383455199232.0,752,BB,0.461
11,ko,Coca-Cola Co,Consumer Defensive,297168404480.0,601,B,0.6306
12,amd,Advanced Micro Devices Inc,Technology,282626228224.0,608,B,0.332
13,tmus,T-Mobile US Inc,Communication Services,268896600064.0,903,BBB,0.4493
14,csco,Cisco Systems Inc,Technology,267379179520.0,734,B,0.3387
15,crm,Salesforce Inc,Technology,236600442880.0,656,B,0.3183
16,lin,Linde PLC,Basic Materials,220312682496.0,725,B,0.5627
17,axp,American Express Co,Financial Services,206426439680.0,664,B,0.4999
18,cat,Caterpillar Inc,Industrials,204224888832.0,709,B,0.503
19,t,AT&T Inc,Communication Services,198566330368.0,715,B,0.3591
20,qcom,Qualcomm Inc,Technology,158300110848.0,1009,BBB,0.5386
21,adbe,Adobe Inc,Technology,143693496320.0,621,B,0.476
22,pgr,Progressive Corp,Financial Services,142413627392.0,975,BBB,0.363
23,spot,Spotify Technology SA,Communication Services,133138366464.0,1038,BBB,0.2978
24,unp,Union Pacific Corp,Industrials,132230127616.0,792,BB,0.574
25,adp,Automatic Data Processing Inc,Technology,121363030016.0,1000,BBB,0.359
26,nke,Nike Inc,Consumer Cyclical,109851811840.0,680,B,0.3696
27,adi,Analog Devices Inc,Technology,109512007680.0,968,BBB,0.4252
28,cme,CME Group Inc,Financial Services,102567747584.0,812,BB,0.6242
29,ph,Parker-Hannifin Corp,Industrials,91345936384.0,853,BB,0.5279
30,shw,Sherwin-Williams Co,Basic Materials,87787651072.0,774,BB,0.4306
31,rsg,Republic Services Inc,Industrials,72459091968.0,744,B,0.453
32,pypl,PayPal Holdings Inc,Financial Services,64803291136.0,899,BB,0.4522
33,eog,EOG Resources Inc,Energy,64282791936.0,1042,BBB,0.6448
34,spg,Simon Property Group Inc,Real Estate,63864918016.0,677,B,0.4939
35,nsc,Norfolk Southern Corp,Industrials,62789951488.0,1027,BBB,0.5782
36,tel,TE Connectivity Ltd,Technology,59548483584.0,600,B,0.3028
37,cmg,Chipotle Mexican Grill Inc,Consumer Cyclical,57161715712.0,664,B,0.5976
38,carr,Carrier Global Corp,Industrials,56490901504.0,694,B,0.4766
39,alny,Alnylam Pharmaceuticals Inc,Healthcare,54910304256.0,1002,BBB,0.2635
40,glw,Corning Inc,Technology,54112620544.0,600,B,0.2619
41,afl,Aflac Inc,Financial Services,53480603648.0,989,BBB,0.3975
42,fast,Fastenal Co,Industrials,52148764672.0,732,B,0.6597
43,payx,Paychex Inc,Technology,50138759168.0,1000,BBB,0.4975
44,psa,Public Storage,Real Estate,49446162432.0,685,B,0.5027
45,amp,Ameriprise Financial Inc,Financial Services,47674830848.0,971,BBB,0.6866
46,cbre,CBRE Group Inc,Real Estate,46558273536.0,609,B,0.2066
47,rost,Ross Stores Inc,Consumer Cyclical,46375395328.0,1000,BBB,0.5
48,dhi,D R Horton Inc,Consumer Cyclical,46158540800.0,726,B,0.6767
49,cprt,Copart Inc,Industrials,45006032896.0,679,B,0.8528
50,gww,WW Grainger Inc,Industrials,44753240064.0,880,BB,0.5145
51,f,Ford Motor Co,Consumer Cyclical,44017254400.0,753,BB,0.199
52,peg,Public Service Enterprise Group Inc,Utilities,43996655616.0,1005,BBB,0.4515
53,grmn,Garmin Ltd,Technology,43936755712.0,647,B,0.5236
54,xel,Xcel Energy Inc,Utilities,43605839872.0,629,B,0.3889
55,rmd,Resmed Inc,Healthcare,41788698624.0,942,BBB,0.7344
56,ttwo,Take-Two Interactive Software Inc,Communication Services,41674784768.0,842,BB,0.1738
57,ea,Electronic Arts Inc,Communication Services,40280825856.0,885,BB,0.3584
58,rok,Rockwell Automation Inc,Industrials,38999736320.0,761,BB,0.4301
59,hei,HEICO Corp,Industrials,37926330368.0,633,B,0.6353
60,pru,Prudential Financial Inc,Financial Services,36313481216.0,873,BB,0.2069
61,xyl,Xylem Inc,Industrials,34956111872.0,838,BB,0.4517
62,nrg,NRG Energy Inc,Utilities,33619900416.0,916,BBB,0.2773
63,a,Agilent Technologies Inc,Healthcare,32636227584.0,1037,BBB,0.6433
64,nue,Nucor Corp,Basic Materials,32178227200.0,939,BBB,0.4146
65,tsco,Tractor Supply Co,Consumer Cyclical,31690233856.0,1000,BBB,0.4472
66,len,Lennar Corp,Consumer Cyclical,30950610944.0,927,BBB,0.5639
67,bro,Brown & Brown Inc,Financial Services,30236708864.0,1025,BBB,0.6546
68,dxcm,Dexcom Inc,Healthcare,29592016896.0,666,B,0.5714
69,efx,Equifax Inc,Industrials,29585758208.0,995,BBB,0.433
70,ual,United Airlines Holdings Inc,Industrials,28378347520.0,629,B,0.296
71,tyl,Tyler Technologies Inc,Technology,26332592128.0,1011,BBB,0.2796
72,hpe,Hewlett Packard Enterprise Co,Technology,26073812992.0,819,BB,0.2006
73,eqr,Equity Residential,Real Estate,24834146304.0,653,B,0.386
74,dg,Dollar General Corp,Consumer Defensive,24397072384.0,669,B,0.2921
75,afrm,Affirm Holdings Inc,Technology,24149835776.0,895,BB,0.341
76,dltr,Dollar Tree Inc,Consumer Defensive,24137779200.0,658,B,0.2984
77,ppg,PPG Industries Inc,Basic Materials,23928713216.0,749,B,0.3837
78,phm,Pultegroup Inc,Consumer Cyclical,23877003264.0,658,B,0.7383
79,foxa,Fox Corp,Communication Services,23544023040.0,940,BBB,0.4723
80,cinf,Cincinnati Financial Corp,Financial Services,23523641344.0,760,BB,0.5035
81,expe,Expedia Group Inc,Consumer Cyclical,23122229248.0,772,BB,0.2614
82,ulta,Ulta Beauty Inc,Consumer Cyclical,22929897472.0,647,B,0.5387
83,nvr,NVR Inc,Consumer Cyclical,21953693696.0,676,B,0.7221
84,cdw,CDW Corp,Technology,21759629312.0,634,B,0.2126
85,ni,NiSource Inc,Utilities,20193159168.0,906,BBB,0.4461
86,podd,Insulet Corp,Healthcare,19775346688.0,653,B,0.7238
87,dgx,Quest Diagnostics Inc,Healthcare,19375570944.0,735,B,0.4763
88,gpn,Global Payments Inc,Industrials,19122632704.0,918,BBB,0.5053
89,ffiv,F5 Inc,Technology,18446841856.0,636,B,0.4166
90,xpev,Xpeng Inc,Consumer Cyclical,18205614080.0,623,B,0.1866
91,ess,Essex Property Trust Inc,Real Estate,17775466496.0,891,BB,0.4698
92,maa,Mid-America Apartment Communities Inc,Real Estate,17018978304.0,786,BB,0.3422
93,wat,Waters Corp,Healthcare,16737582080.0,797,BB,0.6336
94,yumc,Yum China Holdings Inc,Consumer Cyclical,16092337152.0,642,B,0.4665
95,dow,Dow Inc,Basic Materials,15863928832.0,626,B,0.2088
96,luv,Southwest Airlines Co,Industrials,15713625088.0,827,BB,0.1661
97,zbra,Zebra Technologies Corp,Technology,15388511232.0,937,BBB,0.281
98,udr,UDR Inc,Real Estate,14546726912.0,741,B,0.2246
99,bby,Best Buy Co Inc,Consumer Cyclical,14156023808.0,961,BBB,0.2256
100,txt,Textron Inc,Industrials,13939194880.0,1000,BBB,0.3288
101,ben,Franklin Resources Inc,Financial Services,13109673984.0,980,BBB,0.4226
102,h,Hyatt Hotels Corp,Consumer Cyclical,13038375936.0,649,B,0.5746
103,fn,Fabrinet,Technology,11756052480.0,929,BBB,0.5516
104,ppc,Pilgrims Pride Corp,Consumer Defensive,11630301184.0,1022,BBB,0.4792
105,has,Hasbro Inc,Consumer Cyclical,10793733120.0,856,BB,0.4357
106,dva,DaVita Inc,Healthcare,10620080128.0,892,BB,0.4317
107,vtrs,Viatris Inc,Healthcare,10539645952.0,1000,BBB,0.2623
108,mtsi,MACOM Technology Solutions Holdings Inc,Technology,10212356096.0,941,BBB,0.3566
109,algn,Align Technology Inc,Healthcare,10124624896.0,775,BB,0.55
110,agnc,AGNC Investment Corp,Real Estate,10000608256.0,929,BBB,0.568
111,mgm,MGM Resorts International,Consumer Cyclical,9518520320.0,1000,BBB,0.3241
112,wts,Watts Water Technologies Inc,Industrials,8802454528.0,933,BBB,0.5557
113,kmx,Carmax Inc,Consumer Cyclical,8419038720.0,788,BB,0.3259
114,bwa,Borgwarner Inc,Consumer Cyclical,8196966912.0,696,B,0.3738
115,hsic,Henry Schein Inc,Healthcare,8104074240.0,615,B,0.2768
116,mktx,Marketaxess Holdings Inc,Financial Services,7793228288.0,653,B,0.7712
117,lw,Lamb Weston Holdings Inc,Consumer Defensive,7405240832.0,901,BBB,0.4582
118,siri,Sirius XM Holdings Inc,Communication Services,7320727552.0,747,B,0.2532
119,bio,Bio Rad Laboratories Inc,Healthcare,7292708864.0,802,BB,0.6678
120,urbn,Urban Outfitters Inc,Consumer Cyclical,6975059456.0,935,BBB,0.419
121,aaon,Aaon Inc,Industrials,6784304640.0,1023,BBB,0.419
122,cmc,Commercial Metals Co,Basic Materials,5815934464.0,635,B,0.333
123,czr,Caesars Entertainment Inc,Consumer Cyclical,5235158528.0,693,B,0.3676
124,tfx,Teleflex Inc,Healthcare,5075543040.0,600,B,0.535
125,adma,ADMA Biologics Inc,Healthcare,4526396416.0,824,BB,0.7792
126,you,Clear Secure Inc,Technology,4329476096.0,998,BBB,0.3215
127,gva,Granite Construction Inc,Industrials,4133222144.0,600,B,0.213
128,acad,ACADIA Pharmaceuticals Inc,Healthcare,3956437504.0,765,BB,0.5941
129,akro,Akero Therapeutics Inc,Healthcare,3950804480.0,801,BB,0.2994
130,hgv,Hilton Grand Vacations Inc,Consumer Cyclical,3931448064.0,843,BB,0.5048
131,aap,Advance Auto Parts Inc,Consumer Cyclical,3421152512.0,735,B,0.1905
132,yeti,Yeti Holdings Inc,Consumer Cyclical,3065829888.0,827,BB,0.481
133,uslm,United States Lime & Minerals Inc,Basic Materials,3055834624.0,1033,BBB,0.889
134,cnk,Cinemark Holdings Inc,Communication Services,2933417984.0,930,BBB,0.3309
135,powl,Powell Industries Inc,Industrials,2850991616.0,955,BBB,0.7845
136,hcc,Warrior Met Coal Inc,Basic Materials,2847137280.0,615,B,0.4096
137,prct,Procept Biorobotics Corp,Healthcare,2662416896.0,724,B,0.3428
138,alhc,Alignment Healthcare LLC,Healthcare,2655595776.0,768,BB,0.215
139,penn,PENN Entertainment Inc,Consumer Cyclical,2625924608.0,891,BB,0.1764
140,wu,Western Union Co,Financial Services,2593424896.0,638,B,0.4358
141,acva,ACV Auctions Inc,Consumer Cyclical,2553070080.0,812,BB,0.2087
142,alkt,Alkami Technology Inc,Technology,2244029440.0,845,BB,0.2568
143,adus,Addus Homecare Corp,Healthcare,2144783104.0,643,B,0.4093
144,yelp,Yelp Inc,Communication Services,2141274112.0,973,BBB,0.4493
145,achc,Acadia Healthcare Company Inc,Healthcare,2004579072.0,781,BB,0.387
146,zim,ZIM Integrated Shipping Services Ltd,Industrials,1916486784.0,1000,BBB,0.5771
147,www,Wolverine World Wide Inc,Consumer Cyclical,1904534016.0,996,BBB,0.277
148,prdo,Perdoceo Education Corp,Consumer Defensive,1903784064.0,912,BBB,0.7713
149,acmr,ACM Research Inc,Technology,1893582464.0,967,BBB,0.3558
150,shoo,Steven Madden Ltd,Consumer Cyclical,1822957824.0,1039,BBB,0.3247
151,adpt,Adaptive Biotechnologies Corp,Healthcare,1678682752.0,868,BB,0.2698
152,plya,Playa Hotels & Resorts NV,Consumer Cyclical,1658215168.0,615,B,0.6158
153,cnmd,Conmed Corp,Healthcare,1656092544.0,1011,BBB,0.4863
154,hci,Hci Group Inc,Financial Services,1618987520.0,765,BB,0.297
155,cmre,Costamare Inc,Industrials,1607705088.0,646,B,0.5608
156,upwk,Upwork Inc,Communication Services,1563289216.0,817,BB,0.6374
157,hbi,HanesBrands Inc,Consumer Cyclical,1488824448.0,838,BB,0.3456
158,yala,Yalla Group Ltd,Technology,1409947136.0,697,B,0.9229
159,ahco,Adapthealth Corp,Healthcare,1364324224.0,656,B,0.2332
160,afya,Afya Ltd,Consumer Defensive,1310637568.0,698,B,0.6432
161,xhr,Xenia Hotels & Resorts Inc,Real Estate,1295476480.0,759,BB,0.3598
162,cnne,Cannae Holdings Inc,Consumer Cyclical,1271436288.0,621,B,0.3339
163,aaoi,Applied Optoelectronics Inc,Technology,1202218880.0,785,BB,0.2084
164,prax,Praxis Precision Medicines Inc,Healthcare,1005778816.0,630,B,0.5294
165,akba,Akebia Therapeutics Inc,Healthcare,977005952.0,633,B,0.4473
166,yext,Yext Inc,Technology,968168192.0,949,BBB,0.1469
167,zyme,Zymeworks Inc,Healthcare,938549952.0,871,BB,0.3354
168,mvst,Microvast Holdings Inc,Consumer Cyclical,847513280.0,717,B,0.3818
169,ysg,Yatsen Holding Ltd,Consumer Defensive,803229248.0,897,BB,0.3461
170,shls,Shoals Technologies Group Inc,Technology,781585280.0,865,BB,0.2676
171,pntg,Pennant Group Inc,Healthcare,764867136.0,751,BB,0.2848
172,trtx,TPG RE Finance Trust Inc,Real Estate,699456320.0,769,BB,0.7007
173,sibn,SI-BONE Inc,Healthcare,681832000.0,658,B,0.3425
174,abus,Arbutus Biopharma Corp,Healthcare,653107136.0,745,B,0.3139
175,xyf,X Financial,Financial Services,575736256.0,620,B,0.749
176,aehr,Aehr Test Systems,Technology,552831040.0,852,BB,0.3384
177,yrd,Yiren Digital Ltd,Financial Services,496837344.0,610,B,0.9456
178,absi,Absci Corp,Healthcare,425475520.0,659,B,0.318
179,cmco,Columbus McKinnon Corp,Industrials,409910048.0,763,BB,0.2335
180,airs,Airsculpt Technologies Inc,Healthcare,375868928.0,616,B,0.159
181,mygn,Myriad Genetics Inc,Healthcare,356726528.0,968,BBB,0.2117
182,zepp,Zepp Health Corp,Technology,345696480.0,707,B,0.1633
183,actg,Acacia Research Corp,Industrials,345256384.0,675,B,0.5546
184,abeo,Abeona Therapeutics Inc,Healthcare,330983840.0,821,BB,0.2677
185,aldx,Aldeyra Therapeutics Inc,Healthcare,309061280.0,727,B,0.2792
186,pnrg,Primeenergy Resources Corp,Energy,279254592.0,660,B,0.5239
187,gwrs,Global Water Resources Inc,Utilities,263529616.0,899,BB,0.3233
188,aciu,AC Immune SA,Healthcare,246470000.0,851,BB,0.1978
189,mxct,MaxCyte Inc,Healthcare,219216960.0,768,BB,0.3465
190,utmd,Utah Medical Products Inc,Healthcare,182791760.0,726,B,0.9994
191,hbb,Hamilton Beach Brands Holding Co,Consumer Cyclical,182738640.0,747,B,0.3798
192,acrs,Aclaris Therapeutics Inc,Healthcare,167835552.0,657,B,0.3445
193,sieb,Siebert Financial Corp,Financial Services,161235504.0,834,BB,0.5493
194,usau,US Gold Corp,Basic Materials,157091200.0,940,BBB,0.4958
195,alec,Alector Inc,Healthcare,155988448.0,817,BB,0.2898
196,aeye,AudioEye Inc,Technology,154607504.0,844,BB,0.1742
197,poww,Ammo Inc,Industrials,140533200.0,657,B,0.3147
198,myps,Playstudios Inc,Communication Services,135967680.0,607,B,0.3707
199,achv,Achieve Life Sciences Inc,Healthcare,130174960.0,742,B,0.235
200,pre,Artisan Acquisition Corp,Healthcare,104011320.0,713,B,0.2405
201,afcg,AFC Gamma Inc,Real Estate,102585840.0,685,B,0.7502
202,adag,Adagene Inc,Healthcare,89470552.0,901,BBB,0.2051
203,abos,Acumen Pharmaceuticals Inc,Healthcare,82379824.0,606,B,0.2821
204,airt,Air T Inc,Industrials,60133740.0,769,BB,0.1994
205,acet,Adicet Bio Inc,Healthcare,59542644.0,731,B,0.2852
206,cnf,CNFinance Holdings Ltd,Financial Services,54337676.0,620,B,0.2738
207,advm,Adverum Biotechnologies Inc,Healthcare,52644564.0,818,BB,0.2674
208,abvc,ABVC Biopharma Inc,Healthcare,50944800.0,637,B,0.0976
209,usio,Usio Inc,Technology,50244788.0,770,BB,0.1762
210,algs,Aligos Therapeutics Inc,Healthcare,48368068.0,667,B,0.3178
211,aame,Atlantic American Corp,Financial Services,47015548.0,741,B,0.2575
212,aacg,ATA Creativity Global,Consumer Defensive,44906788.0,608,B,0.1286
213,aatc,Autoscope Technologies Corp,Technology,41689800.0,936,BBB,0.5867
214,useg,US Energy Corp,Energy,39771456.0,1018,BBB,0.2656
215,ppsi,Pioneer Power Solutions Inc,Industrials,33583304.0,919,BBB,0.5422
216,sj,Scienjoy Holding Corp,Communication Services,33392704.0,820,BB,0.4712
217,aktx,Akari Therapeutics PLC,Healthcare,32079870.0,746,B,0.0708
218,utsi,UTStarcom Holdings Corp,Technology,23296840.0,1015,BBB,0.2809
219,mtc,MMTEC Inc,Technology,22038538.0,751,BB,0.1031
220,hbio,Harvard Bioscience Inc,Healthcare,21333110.0,771,BB,0.1492
221,aehl,Antelope Enterprise Holdings Ltd,Industrials,15826534.0,800,BB,0.2567
222,mtex,Mannatech Inc,Consumer Defensive,15188430.0,690,B,0.1895
223,aei,Alset Ehome International Inc,Real Estate,13964770.0,937,BBB,0.3614
224,xin,Xinyuan Real Estate Co Ltd,Real Estate,13143269.0,747,B,0.1909
225,clwt,Euro Tech Holdings Company Ltd,Industrials,9319204.0,641,B,0.5336
226,gure,Gulf Resources Inc,Basic Materials,8540490.0,914,BBB,0.1509
227,clro,Clearone Inc,Technology,8196475.0,808,BB,0.3374
228,sisi,Shineco Inc,Consumer Defensive,6822151.0,991,BBB,0.1264
229,pola,Polar Power Inc,Industrials,4947714.0,600,B,0.1988
230,agmh,AGM Group Holdings Inc,Technology,4402377.0,619,B,0.4292
231,afmd,Affimed NV,Healthcare,2975202.0,982,BBB,0.1815
232,aihs,Senmiao Technology Ltd,Industrials,2870419.0,623,B,0.1351
233,aemd,Aethlon Medical Inc,Healthcare,2412984.0,777,BB,0.2223
234,adtx,Aditxt Inc,Healthcare,2184145.0,739,B,0.0942
235,utrs,Minerva Surgical Inc,Healthcare,888.0,616,B,0.2086
236,mtem,Molecular Templates Inc,Healthcare,658.0,1005,BBB,0.1892
237,clvr,Clever Leaves Holdings Inc,Healthcare,175.0,673,B,0.2467
